x;y;v;theta;t
721.847;554.465;13.4601;-0.204062;135
735.078;551.727;13.5112;-0.204062;136
748.523;548.944;13.7297;-0.204062;137
762.15;546.124;13.9157;-0.204062;138
776.423;543.17;14.576;-0.204062;139
790.418;542.208;14.0273;-0.0686807;140
805.031;541.203;14.6477;-0.0686807;141
820.242;540.156;15.2472;-0.0686807;142
827.603;527.667;14.497;-1.03819;143
834.928;515.24;14.4252;-1.03819;144
842.224;502.862;14.3685;-1.03819;145
849.265;490.918;13.8647;-1.03819;146
856.16;479.22;13.5788;-1.03819;147
862.916;467.757;13.3064;-1.03819;148
869.591;456.432;13.1451;-1.03819;149
876.599;444.543;13.8008;-1.03819;150
883.56;432.733;13.7089;-1.03819;151
890.185;421.494;13.0459;-1.03819;152
897.051;409.845;13.5228;-1.03819;153
904.114;397.863;13.9086;-1.03819;154
910.958;386.25;13.4792;-1.03819;155
917.904;374.468;13.6773;-1.03819;156
924.605;363.098;13.1978;-1.03819;157
931.222;351.871;13.0315;-1.03819;158
937.612;341.031;12.5829;-1.03819;159
943.966;330.251;12.5143;-1.03819;160
956.511;327.441;12.8552;-0.220337;161
968.731;324.704;12.5226;-0.220337;162
980.73;322.016;12.2971;-0.220337;163
992.157;319.457;11.7092;-0.220337;164
1003.07;317.012;11.1888;-0.220337;165
1012.08;323.736;11.2372;0.64149;166
1020.88;330.309;10.9849;0.64149;167
1030.08;337.181;11.4828;0.64149;168
1039.56;344.262;11.8341;0.64149;169
1049.07;351.365;11.8704;0.64149;170
1059;357.949;11.9136;0.585577;171
1069.24;364.737;12.2809;0.585577;172
1079.48;371.529;12.2896;0.585577;173
1089.71;378.316;12.2805;0.585577;174
1100.12;385.219;12.4899;0.585577;175
1112.75;385.127;12.6316;-0.00726487;176
1125.28;385.036;12.532;-0.00726487;177
1137.7;384.946;12.4127;-0.00726487;178
1149.54;379.87;12.883;-0.405032;179
1161.78;374.622;13.3172;-0.405032;180
1173.77;369.481;13.0469;-0.405032;181
1185.5;364.449;12.7692;-0.405032;182
1193.24;354.046;12.9632;-0.931549;183
1201.32;343.177;13.5422;-0.931549;184
1209.79;331.775;14.2083;-0.931549;185
1218.4;320.192;14.4329;-0.931549;186
1226.65;309.097;13.8239;-0.931549;187
1241.11;308.248;14.4794;-0.0587079;188
1251.63;317.981;14.3357;0.74631;189
1261.71;327.3;13.7259;0.74631;190
1274.64;324.123;13.3172;-0.240846;191
1287.87;327.531;13.6642;0.252034;192
1301.76;331.106;14.3371;0.252034;193
1315.12;334.548;13.8016;0.252034;194
1328.51;337.995;13.8235;0.252034;195
1342.49;341.594;14.432;0.252034;196
1356.32;345.156;14.2835;0.252034;197
1370.67;348.851;14.8189;0.252034;198
1384.69;352.463;14.4828;0.252034;199
1398.84;356.105;14.604;0.252034;200
1412.46;359.613;14.0659;0.252034;201
1421.98;369.5;13.7258;0.804367;202
1431.9;379.806;14.3056;0.804367;203
1442.16;390.459;14.7883;0.804367;204
1452.22;400.909;14.5055;0.804367;205
1462.48;411.571;14.7995;0.804367;206
1469.95;423.862;14.3847;1.02449;207
1465.19;437.458;14.4061;1.90773;208
1464.39;451.281;13.8464;1.62898;209
1463.6;464.832;13.5742;1.62898;210
1462.77;479.054;14.2467;1.62898;211
1461.95;493.111;14.0807;1.62898;212
1461.13;507.261;14.174;1.62898;213
1460.27;521.997;14.7607;1.62898;214
1459.4;536.952;14.9807;1.62898;215
1458.53;551.872;14.9453;1.62898;216
1457.66;566.835;14.9885;1.62898;217
1456.77;582.057;15.2473;1.62898;218
1455.85;597.807;15.7768;1.62898;219
1463.21;611.07;15.1671;1.06435;220
